name,company,city,transaction_total
Jennifer Adkins,Rivas-Cook,Hobbsmouth,$378.77
Christina Johnson,Wallace Group,New Aaron,$3506.18
Gregory Wagner,Butler-Harris,West Krista,$679.97
Shannon Lawson,Webb; Lewis and Mendoza,South Christopherbury,$1193.92
Natasha Fleming,Jordan Group,Richardtown,$584.45
Teresa Trujillo,Bailey Group,Coryberg,$729.23
Matthew Campos,Erickson-Cunningham,Lake Garyland,$3523.80
Samantha Griffith,Juarez-Barber,East Francisco,$1007.61
Caitlin Allen,Jackson; Preston and Mcgrath,Lake Jessicamouth,$307.13
Eric Hill,Pierce Ltd,East Craigland,$99.56
Theresa Johnson,Butler; Jones and Keith,Port Darrellton,$168.38
Jessica Gardner MD,Welch-Obrien,South John,$415.56
Monique Nelson,David-Rocha,New Tammyland,$251.62
Julia Nielsen,King; Price and Martinez,Cookport,$483.83
Michelle Carter,Kennedy PLC,South Tammytown,$130.53
Kimberly Yoder,Garcia; Garza and Thornton,Huffmanberg,$314.07
Sharon Thompson,Booker and Sons,West Nicholasbury,$1100.95
Heather Ruiz,Lewis; Obrien and Walls,Matthewmouth,$848.85
Tyrone Holland,Gibson-Krause,Collinsside,$1639.97
Alicia Cohen,Murray; Jackson and Lewis,North Ericahaven,$1180.63
Alice Campbell,Costa; King and Johnson,South Heatherbury,$246.28
Sarah Schroeder,George PLC,Timothyfurt,$1424.66
Marie Wright,Tran and Sons,Fernandezside,$406.28
Mary Miller,Trujillo; Perry and Taylor,South Sarah,$425.38
Jeffrey Boyle,Barnes; Davis and Griffin,Hubbardtown,$1426.99
Heidi Mills,Summers Inc,North Catherinestad,$59203.34
Jasmine Jackson,Norris-Acosta,New Samuel,$657.29
Robert Henderson,Davidson; Rogers and Peterson,Kristinfurt,$371.49
Michael Austin,Martin-Jordan,New Hollyburgh,$153.18
Mr. Adam Garrett Jr.,Roberts Inc,East Heathermouth,$135.31
Christine Johnson,Fuller; Short and Brown,Turnerbury,$458.72
Theresa Pace,Cruz-Brown,Williamborough,$946.91
Lucas Small MD,Rhodes Ltd,Schultzview,$866.52
Tanya Carter,Gonzalez; Beck and Freeman,North Michaelmouth,$492.00
David Rice,Moody Ltd,Williamsfort,$99.82
Timothy Ross,Soto; Mcpherson and Carey,West Edwardborough,$158.53
John Taylor,Harvey; Ward and Walker,South Calebstad,$793.33
Dr. David Simmons,Powers and Sons,Jimmymouth,$866.34
Jessica Leblanc,Jones; Carter and Moody,Brewerfort,$1053.22
Nicole Swanson,Jones-Wright,East Joshua,$898.83
William Chapman,Sanders and Sons,North Diane,$1010.40
Rachel Hall,Freeman PLC,Lake Bruce,$1288.23
Matthew Carr,Wheeler-Shields,South Deanna,$314.21
Tonya Rodriguez,Freeman Group,East Richardmouth,$1760.58
Nicholas Murphy,Wilson Inc,West Yvonneville,$580.21
Kevin Martinez,Moore and Sons,South Troy,$870.86
Sylvia Campbell,Patel PLC,Lake Christinaton,$711.81
Travis Cunningham,Jones; Valdez and Jackson,Jenniferburgh,$1648.66
Luis Mack,Watkins-Kelly,Lake Jonathanview,$2633.81
Meghan Ortiz,Clark; Cox and Johnson,Jamesview,$449.99
Danielle Foley,Campbell Group,North Elizabethhaven,$328.74
Sharon Hernandez,Thomas Group,New Brianna,$546.86
Christopher Gamble,Green Inc,Kristinshire,$1684.42
Jamie Garcia,Adams-Vasquez,New Jaredbury,$81.35
Nathan Nunez,Davila Group,East Carolyn,$961.38
Alexandria Keller,Anderson-Harper,East Kristinamouth,$56.15
Richard Quinn,Zavala; Schultz and Adams,Brianchester,$872.74
Nathaniel Nguyen,Howard; Myers and Sandoval,Lake Lawrence,$1091.94
Jeremy Weaver,Garcia and Sons,South Kathryn,$1610.19
Michael Mckinney,Velasquez and Sons,Winterston,$243.35
Luis Peterson,Wang; Walker and Taylor,Pattersonmouth,$606.98
Jennifer Hayes,Silva; Thornton and Goodman,Laurenberg,$166.80
Laurie Williams,Jacobson-Green,North Annashire,$142.07
Denise Fernandez,King and Sons,West Dominique,$917.96
Wendy Schwartz,Wells; Raymond and Hill,Albertfort,$7419.77
Kelsey Wells,Townsend Group,Lake Kyle,$351.86
Tyler Bailey,Mendez-Bailey,Paigeton,$680.63
Jillian Ortega,Simpson; Wells and Liu,Brandyland,$554.50
John Fowler,Berg Inc,East Davidton,$1851.97
David Thomas,Adkins Group,Lake Jamesport,$945.82
Sierra James,Le LLC,Villegasport,$2271.58
Tiffany Gilbert,Trujillo; Baker and Henderson,Port Thomas,$313.69
Rachael Hunter,Gomez; Knox and Evans,Atkinsonhaven,$772.20
Sharon Gutierrez,Knight-Garcia,Brianborough,$433.65
William Park,Rowe LLC,Kaylachester,$1186.81
Sean Craig,Good; Figueroa and Mason,Marcusburgh,$371.15
Jon Murillo DDS,Fields-Garcia,Longborough,$446.55
Jeffrey Mathis,Simmons Inc,Lake Brian,$741.78
Matthew Thomas,Lopez Group,West Amber,$591.82
Craig Jordan,Taylor Ltd,North Regina,$1893.82
Charles Gomez,Mejia; Stevens and Long,Thompsonland,$4004.23
Corey Ramirez,Sandoval; Wallace and Stewart,Michaelville,$689.16
Todd Weaver,Wade-Kim,Simschester,$2557.41
Jenny Vazquez,Harper; Sullivan and Campbell,East Carolynburgh,$1619.89
Eric Jones,Stephens; Carter and Dunn,East Zachary,$579.27
Mark Morris,French; Wilson and Berry,Holmesville,$790.47
Courtney Henderson,Harrison; Stark and Myers,North Russelltown,$740.19
Kristen Orozco,Hinton Inc,Tonyaland,$1209.60
Carla Porter,Moore; Kaiser and Garza,Jonesville,$66.09
Sheri Roberts,White; Reynolds and Haynes,Candaceport,$268.52
Charles Myers,Allen LLC,Lake Reginaldberg,$836.86
Thomas Lang,Smith; Lang and Potts,Meganmouth,$755.94
Michael Walker,Cooley; Flores and Gross,West Anna,$286.64
Jennifer Harmon,Andrews Inc,Johnhaven,$1346.00
Spencer Proctor,Maxwell; Walters and Franklin,Daltonmouth,$637.40
Mark Owens,Hanson and Sons,East Toddborough,$170.04
Mr. Jose Jenkins,Lutz-Roberts,New Jerry,$1531.25
Sara Castro,Davis LLC,West Saraborough,$790.39
Kevin Chapman,Miller-Browning,Jaclynville,$745.72
Edwin Johns,Curtis Ltd,New Amanda,$906.98
Brooke Harris,Chan-Jefferson,Port Ebony,$410.60
Jennifer Crawford,Marsh Ltd,Arnoldport,$715.44
Lauren Carter,West; Craig and Richard,Whiteville,$360.09
Cassidy Fisher,Cross Group,Lake Robert,$387.43
Austin Nelson,Douglas; Washington and Hall,New Carlos,$28.96
Mitchell Adkins,Carrillo; Casey and Blair,Johnstad,$422.11
Ashley Duffy,Tyler Inc,Christineland,$68437.74
Stephanie Cooper,Mason; Cox and Franklin,Kingville,$358.01
James Smith,Schaefer; Anderson and Thomas,North Pamela,$311.26
Mr. Jonathan Wood,Wang-Meyer,Jamestown,$1645.68
Kelli Sweeney,Singleton LLC,South Jack,$299.81
Elizabeth Wright,Hill Inc,North Keithchester,$1344.95
Judy Taylor,Kemp; Irwin and Richards,New Robertberg,$929.26
Mary Mcdaniel,Hebert; Harris and Lawrence,Forbestown,$227.18
Vicki Smith,Rogers Inc,Valdezville,$1716.73
Tyler Tate,Mitchell LLC,Rosalesbury,$779.61
Charles Wright,Gordon Group,Lake Jillport,$1493.83
Katie Scott,Duarte Group,Harrisville,$317.22
Greg Fitzgerald,Brown-Cole,Cynthiaborough,$272.29
Jennifer Ward,Bell; Harrison and Berry,Carpentermouth,$253.76
James Miller,Brewer-Vasquez,North Davidhaven,$222.12
Elizabeth Davis,Aguirre PLC,Scottport,$1913.67
Marc Myers,Mendoza-Williams,Stoneshire,$167.34
Eddie Glenn,Rivera-Kelly,Zacharyton,$99.47
Tara Price,Thompson and Sons,Amberton,$1150.84
Lori Fleming,Harris-Miller,Smithport,$268.47
Catherine Thornton,Sutton-Allen,Lake Jasonside,$563.03
Brianna Ramirez,Hunter-Sandoval,North Nathan,$108.31
William Beck,Tran; Ward and Black,Fernandezberg,$1015.90
Christina Thompson,Bridges; Whitehead and Delgado,Ramirezchester,$30.66
Christine Perez,Garrett; Sanders and Solomon,New Timothyhaven,$773.33
Bradley Gordon,Butler-George,Port Bryce,$977.81
Debbie Gregory,Hughes Inc,Johnsonton,$259.33
Connie Barber,Parrish; Gonzalez and Brown,Thomasborough,$374.05
Dustin Love,Hancock-Williams,South Jessicaside,$846.87
Daniel James,White LLC,Port Jeffrey,$576.07
Michael Johnson,Anderson; Lester and Alvarez,Mirandaberg,$1520.12
Mr. Keith Nelson DDS,Macias-Carey,North Taylorburgh,$575.41
Emily Larsen,Bird-Farrell,Meadowsview,$74665.29
Robert Copeland,Davis PLC,South Ashleyfurt,$226.95
Lori West,Lewis Inc,Port Ashley,$1215.49
Jenna Kline,Flores-Steele,Donnaburgh,$289.70
Anthony Jackson,Koch; Gallagher and Brown,Erikaberg,$172.82
Eric Bass,Parsons-Harris,East Anna,$879.57
Martin Riggs,Reyes; Brown and Burke,Lake Jennastad,$800.24
William Woodward,Martinez; Shelton and Alexander,North Michael,$1767.10
Joseph Salazar,Nichols-Webb,East Valerieton,$160.73
Erin Lee,Carrillo Group,Zoefurt,$957.69
Patricia Kim,Watson-Porter,Williamsport,$628.25
Nicholas Howard,Pacheco Group,West Williamtown,$974.22
Barbara Stevens,Hopkins; Terry and Cameron,Burnshaven,$965.57
Timothy Elliott,Ward; Young and Cruz,Cooleystad,$858.67
George Hill,Richardson PLC,Brownside,$1743.80
Christopher Johnson,Mendez-Mitchell,Harrisonville,$9.35
Caitlyn Lewis,James-Boyd,Georgehaven,$911.63
Rhonda Miller,Beasley-Leblanc,New Josephmouth,$334.06
Linda Davis,Mccoy-Lloyd,North Angelicaport,$1084.74
Julia Alexander,Brown-Flores,Prestonshire,$1604.76
Ashley Walton,Johnson PLC,South Kimberly,$266.07
Leslie Donaldson,Cordova and Sons,East Emilymouth,$2513.29
Gregory Barron,Williams-Davis,Garciaview,$1238.51
Brenda Lewis,Gonzalez; Caldwell and Henderson,North Carl,$390.33
Anthony Kent,Cunningham Inc,Sullivanton,$683.51
Melanie Johnson,Miller-Gonzales,Port Cameronbury,$464.87
Tiffany Schwartz,Lee Inc,Richardhaven,$724.74
Gregory Edwards,Owens and Sons,Taylorburgh,$958.96
Amanda Marsh,Hardy LLC,West Michaelhaven,$1131.10
Brandon Mccoy,Travis; Garcia and Schwartz,Karentown,$450.64
Peter Watts,Garrison; Miller and Montoya,Kellyton,$97463.61
Laura Porter,Reyes Ltd,South Geoffreychester,$99240.05
Teresa Mcknight,Cole Inc,West Justin,$905.85
Brittney Holland,Williams PLC,New Mariastad,$488.51
Kathryn Fisher,Soto-Mcgee,South Abigail,$642.97
Sandra Dennis,Stanley; Gutierrez and Morgan,Port Robertton,$15.98
Adam Vaughn,Mcbride; Glenn and Ellis,Lake Ericmouth,$75448.71
Chris Rubio,Montoya; Brown and Pratt,Port Ashley,$2969.56
Katrina Miller,Rodriguez-Joseph,North Jaredton,$105.71
Mary Foster,Kramer and Sons,Bakerport,$1985.55
Eric Frey,Mason PLC,Port Codyberg,$1482.25
Leroy Alvarado,Sanchez; Hall and Patel,Stephaniemouth,$315.24
Robert Johnson,Walters-Walker,South Joshua,$569.17
Mark Gonzalez,Campbell-Delgado,Port Mario,$222.66
Shannon Mckinney,Coleman and Sons,Riveraburgh,$142.33
Desiree Sanders,Pham Ltd,Stricklandfort,$523.21
Sabrina Davis,Miller-Smith,South Kimberly,$517.28
Heather Matthews,Lewis-Briggs,Troyshire,$92.76
Anne Braun,Church-Villarreal,Johnborough,$1754.22
Joseph Sims,Parsons-Rodriguez,Haroldland,$924.18
Hannah Norris,Williams LLC,Youngstad,$643.02
Richard Reyes,Perez; Hansen and Fox,Hensleybury,$1435.82
Alyssa Bishop,Miller Ltd,South Donald,$858.90
Alexis Martinez,Keller-Greer,Coxburgh,$792.61
Alexander Schmidt,Jacobs-Ramos,Patelfurt,$24.49
Donald Wu,Williams; Smith and Wilson,South Isaacview,$7780.70
Devon Fernandez,Nelson; Martinez and Case,South Samanthaside,$725.27
Ricky Romero,Smith; Morrow and Willis,West Ianmouth,$99.18
Elizabeth Mitchell,Green-Baker,Schwartzchester,$1250.58
Kelsey Ellis,Fields-Yu,Cherylville,$2241.41
Joy Simpson,Moore LLC,North Amy,$966.52
Timothy Mills,Moore and Sons,Port Anthonyberg,$1282.71
Christopher Hutchinson,Sharp-Wood,Mezaborough,$5050216.12
Adam Cruz,Whitney; Mcdonald and Navarro,North Michelle,$990.23
Mary Smith,Phillips-Henson,Griffithberg,$147.84
Mario Kim,Vaughan-Ibarra,North Sharon,$237.57
Kaitlyn Davis,Fernandez Ltd,Hopkinsport,$85.01
Kristy Smith,Butler PLC,Lake Raymond,$79974.17
Jamie Burgess,Ellis-Nelson,South Adrianview,$2000.62
Tabitha Rojas,Thompson Ltd,East Jacob,$9560.16
Keith Patel,Nunez Inc,Port Amandastad,$2340591.26
Cody Fleming,Newton-Gonzalez,Jessicahaven,$830.57
Lisa Jones,Preston; Jacobson and Silva,West Barry,$818.68
Joan Harris,Harding; Miller and Mills,Lake Pamelaton,$704.05
William Williams,Allen-Johnson,South Bradley,$718.25
Abigail Stephens,Little Inc,North Jerryberg,$1569.74
Kevin Williams,Davis; Sanchez and Davidson,Daviesview,$150.09
Melissa Mccoy,Powell-Hoffman,South Adam,$611.76
Kimberly Nelson,Dean; Mckinney and Paul,South Jerrybury,$278.40
Joshua Smith,Herring Group,North Brandonstad,$891.36
Jeffrey Singleton,Cole; Cummings and Wheeler,Thomasview,$739.02
Tiffany Sims,Kirk and Sons,Port Judith,$1263.00
Kent Mann,Watson Inc,Lake Ethan,$116.18
Holly Gamble,Fuentes Inc,New Vanessa,$1867.78
Kenneth Scott,Archer Inc,Territon,$254.31
Regina Jacobs,Cohen-Miller,Roberthaven,$2372.72
Matthew Diaz,Waters-Barnes,South Morgan,$620.37
Ashley Weaver,Levine PLC,West Brianshire,$109.40
Sarah Martinez,Munoz Inc,North Cindyfurt,$952.12
Cassandra Jimenez,Wallace-Rose,West Joshua,$4401.00
Samuel Kennedy,Robinson Inc,West Donaldstad,$109.98
Nicole Foster,Benson Ltd,West Heather,$923.62
Heather Robinson,Lynch Inc,Port Davidmouth,$1387.47
Pamela Wise,Weiss; Cortez and Herrera,West Christy,$355.14
Ronald Mann,Graham Ltd,West Timothybury,$407.75
Kimberly Evans,Osborn and Sons,Davidfort,$210.14
Steve Esparza,Boyd PLC,Charlenemouth,$284.13
Dr. Jose Hancock,Serrano Ltd,Palmerchester,$625.09
Michelle Moore,Lopez; Hill and Harris,North Michellemouth,$617.06
Ryan Sandoval,Powell-Davidson,New Kevinland,$1291.50
Charlene Johnson,Johnson-Mayer,Rileyshire,$50303.30
Karen French,Smith-Sharp,North Kimberlyton,$228.02
Sarah Stevens,Lee; Miller and Williams,Hannahbury,$5161.04
David Herrera,Barry; Martin and Stewart,Ericstad,$773.58
Elizabeth Gonzalez,Velasquez; Gibbs and Adams,East Amandatown,$789.56
Jacob Goodwin,Hall; Good and Bailey,East Jackstad,$2764.43
Katie Jenkins,Price LLC,New Lori,$635.24
Teresa Gates,Robertson-Tanner,New Erin,$500.69
Joseph Johnson,Hall; Lopez and Franco,Port Kimberly,$928.54
Daniel Vasquez,Fitzpatrick Group,East Christina,$349.70
Alexander Daniels,Carter-Wilson,Stevenbury,$455.37
Michael Vaughan,Beasley and Sons,West Bobbystad,$1630.05
Terry Hernandez,Parker Group,Kathleenport,$364.58
Jenny Mcgee,Cruz-Frank,Lopezville,$799.32
Harry Gardner,Edwards-Cox,East Ryan,$808.25
Jeffrey Johnson,Dean; Malone and Neal,New Brandon,$69.24
Pamela Rodriguez,Padilla; Burns and Hayes,Lindseyhaven,$41.74
Donald Graham,Moody; Floyd and Gonzalez,Andrewland,$635.34
Daniel Taylor,Blankenship-Bailey,East Dannyside,$584.01
Virginia Mckee,Johnson PLC,East Vanessa,$7941.49
Philip Moody,Palmer; Ewing and Rodriguez,Davidstad,$907.52
Abigail Christensen,Turner-Hopkins,Port Tonyaton,$7596.00
Robert Washington,Patterson; Johnson and Yang,Robertsonshire,$1055.07
Jonathan Jones,Smith and Sons,Stephanieburgh,$528.12
Chelsea Lane,Smith PLC,Robertstad,$2412.25
Cynthia Gregory,Nelson; Hansen and King,North Joseph,$301.55
Andrew Charles,Nelson; Collins and Goodman,Adrianberg,$209.75
Whitney Davis,White Ltd,Port Jameschester,$916.45
Jamie Schultz,Livingston Ltd,West Michael,$861.35
Dustin Quinn,Cox; Crawford and Oliver,Josephtown,$7824.20
Stephen Patel,Martin Inc,Zacharyborough,$199.59
Valerie Shea,Dominguez-Harrell,Port Josephland,$770.20
Glen King,Harding Group,Hernandezstad,$702.16
Samantha Rogers,Mcclain Group,Kristaburgh,$855.39
Sarah Steele,Murphy Ltd,North Russellside,$864.76
Megan Lee,Bentley; Gibson and Matthews,Port Lynn,$1450.78
Mr. Gregory Nguyen,Russell Ltd,Maryview,$575.71
Lisa Rosales,Bartlett-Turner,Robertbury,$559.96
Kathryn Butler,Brennan; Carter and Salazar,Harriston,$3003.85
Alexander Palmer,Osborne; Cantrell and Diaz,North William,$678.84
Jon Garrett,Lutz; Johnson and Taylor,Port Jennyview,$217.66
Heather Wells,Frazier Ltd,Port Tammy,$950.67
Jeremy Doyle,Dickson; Shelton and Smith,West Jeremy,$782.01
Alexander Park,Carney Group,Lake Erikaview,$518.99
Sarah Lopez,Berger-Bray,Patriciaside,$618.05
Elizabeth Reyes,Hunter-Jones,New Jamietown,$1475.11
Gregory Snow,Gibson-Ritter,New Thomasview,$351.37
Danielle Little,Evans; Thomas and Jimenez,New Kathryntown,$162.04
Susan Dominguez,Romero Inc,North Stephanie,$1621.70
David Cole,Perry; Rivera and Williams,Port Scott,$607.77
Elizabeth Ashley DVM,Huber and Sons,Matthewville,$506.66
Mrs. Heather Fields,Banks; Santiago and Parker,Port Natalie,$1197.99
Virginia Morgan,Smith PLC,New Larry,$853.02
Grant Williamson,Davis Ltd,South Cameron,$1320.32
Anthony Dixon,Sullivan and Sons,Lake Derekport,$804.10
Ricky Kennedy,Lopez LLC,South Robertbury,$1894.27
Brandy Kennedy,Moore; Morris and Cruz,Alvaradoberg,$950.19
Scott Shelton,Fitzpatrick PLC,East Pamelabury,$1186.63
Hayley Stephenson,Cook-Briggs,East Mallorychester,$4939.21
Jose Smith,Ramirez Group,Port Jessicaton,$1200.66
Miguel Hernandez,Bradley Group,West Cheyenne,$1461.11
Roberto Nash,Smith-Cunningham,Catherineview,$1478.99
Nicholas Brown Jr.,Stone; Richard and Padilla,Bankstown,$1029.18
Harold Krueger,Henry Ltd,South Michelle,$628.47
Heidi Calderon,Cox-Alvarez,Elizabethborough,$386.69
James Hale,Anderson-Martinez,Lake Michaelport,$723.50
Victor Carroll,Prince; Coleman and Ross,Lake Jeffreyfort,$203.42
Tony Smith,Alexander Ltd,East Mark,$1353.89
Anita Morrison,Robinson; Gonzalez and Miller,Kimberlyfurt,$930.09
Nicole Chen,Crawford Group,Lake Leebury,$604.73
John Bell,Johnson and Sons,Grayhaven,$94.08
Melissa Caldwell,Romero Inc,Port Benjaminfurt,$1646.27
Deborah Savage,Ramirez-Green,South Georgeborough,$568.04
Nathan Callahan,Vargas Group,Christianberg,$17759.59
Dalton Davis,Lewis; Burnett and Hays,New Joshua,$3432661.56
David Fritz,King; Jones and Patel,Mirandafort,$206.23
Kenneth Kennedy,Cummings-Evans,Riveramouth,$572.17
Lisa Hart,Munoz; Woods and Vargas,North John,$6634.08
Ellen Brown,Mejia; Robertson and Brooks,New Garychester,$2088.46
Kimberly James,King and Sons,Jonesshire,$933.06
Cody Campbell MD,Ramos Inc,North Adam,$1067.03
Justin Wright,Wheeler-Chen,East Jasonchester,$710.08
Rebecca Dudley,Scott-Davis,East Hunter,$861.57
David Ho,Austin and Sons,New Pamela,$1451.65
Brent Bass,Gallagher-Lewis,Lake Coltonville,$1148.00
Jesse Rogers,Ramos-Cline,North Luke,$1048.73
