name,company,city,transaction_total
John Wilkinson,Smith; Dickerson and Fox,Andersonmouth,$552.15
Melissa Hamilton,Nunez; Gutierrez and Stevenson,Mcdonaldchester,$381.93
Lori Lang,Fisher PLC,Lake Gabrielle,$1438.80
Kristen Stevens,Davenport and Sons,Phillipmouth,$100.32
Michael Michael,Martin; Ramos and Gallagher,Swansonton,$78.90
Jodi Williams,Porter Inc,Frankstad,$451.97
Amy Ali,Burns; Villarreal and Castro,Kaylaview,$339.93
Patrick Ford,Foster; Nguyen and Rowe,Kevinmouth,$498.88
Travis Strickland,Aguilar-Barry,Goldenville,$58.46
Mr. Robert Holt,Williams-Lopez,New Bettyberg,$440.63
David Martin,Roberts PLC,Gallagherland,$69600.30
Cassie Johnson,Holden; Page and Williams,Jennifershire,$718.84
Derrick Baker,Strickland-Gray,East Michaelmouth,$371.54
Ronald Lewis,Barrett-Miller,Brooksberg,$6221.57
Jermaine Fischer,Jefferson; Burke and Franklin,New Heidistad,$20.78
Anthony Scott,Arnold-Jones,East Antonioborough,$58.80
Alejandro Fitzgerald,Kelly-Brown,Roberttown,$237.79
Julian Jackson,Bell Ltd,West Michaelside,$458.18
Rebekah Walter,Davis and Sons,Annaburgh,$812.25
Joseph Wright,Fields-Jordan,North Vanessamouth,$645.56
Alison Wall,Chavez Ltd,Maloneview,$187.87
Victoria Kennedy,Lyons-Shepherd,Gregorybury,$328.41
Sarah Baker,Campbell Group,East Paul,$2523.64
Christopher Brown,Skinner; Porter and Rosales,Jonesmouth,$642.18
Melissa Matthews,Pena-Allen,West Josephchester,$5885.99
Melissa Weaver,Reynolds-Ortega,New William,$1933.23
Stacy Rocha,Curtis Ltd,South Luischester,$1252.85
Zachary Pittman,Brown-White,Michaelburgh,$1325.72
Amy Bridges,Stokes and Sons,South Gerald,$370.50
Austin Patel,Burgess LLC,Jessicamouth,$8.11
Katrina Johnson,Obrien; Ford and Norris,South Elizabeth,$78.65
Pamela Sparks,Murphy-Murray,Maureenbury,$9981.82
Michael Ortiz,White PLC,Lake Jasonmouth,$1683.40
Michelle Martinez,Valdez PLC,Ericmouth,$498.06
Elizabeth Rosales,Arias-Shepherd,West Robin,$1923.40
Jacob Scott,Sims-Rivera,Adamview,$510.09
Robert Robbins,Lang-Levy,Mistyport,$1322.80
Michael Davis,Wilson PLC,Christinafort,$74.92
Barbara White,Holden and Sons,Lake Michele,$628.70
Michael White,Hodge and Sons,West Carlton,$1637.39
Jacob Bell,Horton; Brooks and Owen,Port Sean,$3320.41
Sandra Huynh,Johnson Ltd,Hernandezville,$752.29
Eric Johnson,Velasquez; Yoder and Romero,Jasonton,$1631.14
Bryan Gonzalez,Lopez; Solomon and Francis,Conniestad,$90124.36
Lauren Gomez,Taylor; Waller and Rowe,Port Karen,$871.03
Marc Scott,Solomon and Sons,Michaelshire,$837.42
Amber Diaz,Campos; Ramirez and Hooper,Justinstad,$597.72
Shannon Carr,Lawrence PLC,North Andres,$196.76
Austin Carpenter,Williams-Travis,Port Barry,$490830.16
Kyle Bass,Nichols-Ray,Breannaton,$1121.31
Patrick Rodriguez,Ross Inc,Davisview,$1171.75
Sara Terry,Porter; Green and Jones,West Julieville,$413.89
Sandra Brooks,Becker; Price and Garrett,North Danielmouth,$1447.59
Mrs. Kimberly Lowe,Torres; Cox and Joseph,East Joshua,$1987.14
John Lin,Ford; Bond and Franco,Craigborough,$3007.82
Jessica Peck,Cortez; Powell and Richard,Lake Janeview,$1299.43
Kimberly Ochoa,Norton-Anderson,Kimberlystad,$796542.74
Kristin Castro,Newman; Leach and Jordan,Walshhaven,$8890.61
Natalie Blackwell,Davis-Myers,New Christopher,$2897.48
Shelley Robinson,Reid-Buckley,Port Deanna,$265.68
Andrea Nelson,Clark-Padilla,Port Annamouth,$1191.11
Kelly Carson,Cook; Keith and Miller,Sherryborough,$2650.85
Tammy Garrett,Villegas; Blair and Giles,Port Jamesstad,$20.41
Ronald Graham,Bean; Thompson and Bell,Jameschester,$330.29
Nancy Cook,Berry-Fitzpatrick,Jamiebury,$7347.91
Catherine Gomez,Hoover-Mayer,West Kelly,$2269.75
Dr. Kathryn Lopez,Floyd LLC,East Katherinemouth,$283.12
John Anderson,Webb-Taylor,North Kaylaberg,$569.55
John Barrett,Fox Group,West Katrina,$838.22
Mathew Maynard,Lee; Vargas and Hill,West Travisstad,$556.10
Cheryl Foster,Graham and Sons,Denisefurt,$687.92
Katie Reese,Alexander-Sandoval,New Dustinburgh,$760.69
Cory Chung,Stewart-Johnson,Jacksonhaven,$460.37
Shannon Dorsey,Williamson-Fuller,West Pamela,$752.91
Tiffany Guzman,Barnes-Rojas,Lake Nathanshire,$228.46
James Robinson,Brown; Riddle and Klein,Herreraton,$448.22
Kenneth Brown,Watson Group,Danielfort,$1465.97
Charles Velez,Rodriguez LLC,South Tiffanybury,$288.08
Nicholas Coffey,Schmidt Ltd,North Tammy,$860.54
Hunter Rodriguez,Griffin-Johnson,New Amandachester,$540.94
Hannah Middleton,Colon; Price and Wright,Butlermouth,$474.73
Jennifer Daugherty,Willis Ltd,Lake Zacharyfurt,$242.91
Ashley Johnson,Howell; Haas and Brown,West Aaronhaven,$198.21
Carla Taylor,Davis-Evans,North Stephanie,$446.98
Nicholas Cochran,Rivera; Murray and Torres,Tracyport,$1642.98
Samantha Kane,Richards PLC,Lake Kiaraton,$1105.08
Laura Ayers,Chambers LLC,Lake Joeltown,$352.79
Mark Fry,Lewis-Castro,Anthonyport,$182.68
Rebecca Williams,Kim-Davis,Vegachester,$964.20
Cynthia Hughes,Griffin; Wilson and Williams,Kennedyland,$105.17
Jennifer Henderson,Nelson-Jones,Lake Pamburgh,$47172.28
Cynthia Butler,Gonzales-Strickland,East Emilychester,$1687.17
Danielle Douglas,Martinez; Walker and Duke,East Chelsea,$1960.02
Kevin Parker,Freeman-King,South Joshua,$532.26
Anthony Davidson,Burns-Holmes,Davidtown,$2932.69
Dawn Bowen,Gibson; Gomez and Mcfarland,South Heathershire,$898.52
Gregory Green,Bradley and Sons,North Marie,$1052.45
Andrew Roberson,Brown and Sons,Sharonland,$814.99
Alicia Bell,Joyce; Herman and Sandoval,East Tiffanybury,$4411013.36
Yvette Lyons,Clark-Jones,Andrewsborough,$699.04
Matthew Clark,Woods Inc,South Thomaston,$2818.77
Tara Dillon,Rivera and Sons,Mariobury,$145.11
Matthew Cross,Cummings-Wilson,North Kimberlyside,$327.31
James Kim,Washington-Duncan,West Jasonchester,$1730.47
Francisco Rogers,Bush Inc,Jeremymouth,$420.65
Jennifer Owens,Bennett LLC,Amberland,$987.66
Lynn Ward,Black-Anderson,Jessicachester,$1702.06
Haley Johnson,Taylor; White and Dyer,New Carlborough,$2658.15
Louis Miller,Mann LLC,Ryanton,$930.09
Kevin Arellano,Collins-Reid,Kathyborough,$1916.31
Glen Perez,Sutton; Powell and Stevenson,West Katherine,$1253.04
David Hall,Robinson; Brady and Vega,Ericberg,$55.34
Gary Jackson,Hanson-Webster,West Kimberlychester,$6944.66
Jasmine Collins,Williamson Ltd,Paulachester,$336.15
Shirley Shah,Stephens Group,Jonesstad,$7642958.51
Edward Davis,Hunt-Barnett,New Maryview,$779.89
Jeffery Bartlett,Lawrence Ltd,Pamelaborough,$205.21
Michael Roberts,Gross; Craig and Jenkins,West Beverlymouth,$1138.17
Jeffrey Cooper,Cooper; Davidson and Clements,Boltontown,$488.73
Jack Dixon,Townsend; Bryan and Dickerson,West Nancytown,$393.53
Michelle Ortega,Terrell-Jackson,West Andreaport,$694.47
Travis Griffin,King PLC,Jamesshire,$400.76
Melissa Harrison,Stevenson and Sons,Jordanside,$180.10
Heather Hughes,Harris PLC,Lake Maria,$330.12
Heather Lara,Elliott; Cruz and Williams,New Nicoleview,$39290.85
Jeffrey Preston,Trevino; Baker and Tate,Lake Lisa,$45.39
Ashley Lynn,Riley PLC,Kellyland,$529.77
Christian Mosley,Fuller; Logan and Boyer,Charleschester,$38451.52
Sandra Spencer,Singh; Hatfield and Lewis,Caitlinport,$2895.86
Jeffery Collins,Owen; Franco and Cunningham,New Luis,$123.72
Larry Snyder,Hanson and Sons,Romanborough,$67.68
Dana Hogan,Chung LLC,Kellyview,$2822.88
Brian Lawson,Johnson LLC,New Maryton,$1177.38
Jonathan Beck,Hubbard Inc,West Richard,$110.44
Zachary Gilbert,Martin Inc,Troybury,$69763.90
William Anderson,Baker; Pierce and Mcgee,Janetchester,$1209.36
Brianna Pace,Nash LLC,West Jeffreyside,$1070.27
Michael Porter,Stone-Smith,Brittneyfort,$219.07
Craig Torres,Moore; Stark and Keller,Lauraburgh,$998.39
Tiffany Richardson,Bryan; Parsons and Stevens,Ruthtown,$631.12
Lisa Stewart,Wise; Flowers and Davis,Lake Kimberlystad,$9396315.74
Victor Bowman,Bishop; Hull and Horne,North David,$156.16
John Thomas,Martin-Little,West Catherinemouth,$1905.94
Patricia Moon,Lang Group,Barnesville,$510.64
Michael Lewis,Huerta; Guerra and Cooper,South Charlesmouth,$1193.89
Allison Smith,Jackson-Avila,Port Ashleyhaven,$439.89
Carol Thomas,Melton-Sellers,Donaldsonshire,$294.74
Mary Wallace,Cervantes LLC,Randallhaven,$2494.22
Abigail Rich,Brown LLC,Vincenthaven,$74.80
Kelly Dominguez,Miller-Miller,North Mark,$680.56
Valerie King,Walker; Quinn and Bryant,Alvarezshire,$1240.89
Samuel Small,Brown Ltd,Hernandeztown,$902.44
Mary Cox,Keller Inc,Mollyburgh,$358.46
Ariel Rodriguez,Prince Inc,Port Aliciaside,$725.31
Jordan Obrien,Lewis Ltd,Lake Erinside,$86.18
Christopher Adams,Wyatt-Moore,South Brendaberg,$5080.86
Cristina Taylor,Hall Group,Pattersonport,$800.19
Andrew Hoover,Rodriguez PLC,East Marcborough,$709.30
Katelyn Miller,Brown; Juarez and Dickerson,Briannatown,$1407.90
Nicholas Welch,Martinez Ltd,Lake Kevin,$160.07
Ryan Cooper,Pitts LLC,Aliciachester,$2689058.72
Richard Williams,Cooper Inc,Kristibury,$976.95
Kristin Wilson,Michael; Smith and Joyce,North David,$794.22
Taylor Singleton,Mora; Kramer and Rivera,Dianeburgh,$728.40
David Carpenter,Miller PLC,Port Robertside,$1416.88
Jason Dyer,Mitchell and Sons,Port Kristibury,$914444.45
Renee Page,Holden; Glenn and Sheppard,Alexatown,$1084.64
Jose Casey,Norman PLC,Coryview,$92.34
Kristina Morrison,Horn Ltd,Lake Valeriemouth,$451.01
Gregory Martinez,Thomas; Rodriguez and Butler,West Emily,$80.03
Anthony Warren,Fitzgerald; Stark and Walker,Macdonaldside,$883.74
Steve Odom,Ellison-Davis,North Lindsaychester,$1038.27
Justin Rogers,Sanchez; Martinez and Martinez,Josephstad,$292.03
Matthew Campbell,Swanson; Patterson and Holt,East Priscillachester,$310.60
Mary Watson,Villa; Adams and Wilcox,South Benjamin,$1441.54
Alexis Moore,Cole-Simmons,Laurenport,$1280.80
Jessica Garner,Schmidt; Davidson and Johnson,Lake Cindy,$1735.32
Tina Thomas,Williams Ltd,New Patriciafort,$451.87
Nicole Watkins,Berger; Miles and Johnson,Lake Amandahaven,$2812.07
Jeanne Davis,Clark Inc,East Marieberg,$338.88
Tamara Murphy,Logan; Fuller and Simmons,North Frankville,$994.30
Terry Black,Paul Ltd,Lake Phillipberg,$255.81
Ashley Rogers,Sanders; Caldwell and Robinson,South Jasonborough,$1901.71
Michael Doyle,Stevens Inc,Lake David,$503.08
Deanna Carter,Hunt-Taylor,Steventown,$42.51
Kim Ortiz,Martinez PLC,Richardsonberg,$2477.88
Stephen Joyce,Simmons; Escobar and Williams,Collinsburgh,$303.41
Joshua Watkins,Griffin-Williams,Andersonview,$603.73
Melissa Fowler,Cobb; Phillips and Hale,South Christophertown,$1849.49
Kayla Yates,Brown-Graham,Schultzside,$230.63
Tina Roberson,Gonzalez; Nguyen and Martinez,Melissaville,$565.14
Denise Raymond,Cummings LLC,East Robertport,$599.54
Mark Jones,Scott; Joseph and Austin,Dianashire,$226.28
Laura Miller,Rodriguez; Dalton and Burton,South Laurenbury,$122.54
Marie Cowan,Davis; Martinez and Lowe,Port Matthew,$2229204.02
Mark Davis,Garcia; Mccoy and Beasley,Doughertyshire,$347.43
Ricardo Sharp,Salas-Lowery,Tiffanyfort,$944.34
Andre Jones,Parks-Cox,Derekfurt,$370.88
Courtney Norton,Fischer PLC,Fosterberg,$2090.06
Andrew Barnes,Walker-Fisher,North Heidiberg,$110.35
Leslie Lopez,Walsh-Allen,East Dawnfurt,$510.41
Hannah Goodman,Davila; Jefferson and Lee,South Michael,$995.10
Robin Johnston,Phillips Inc,Williamstown,$1471.02
Kendra Morrison,Kerr; York and Rose,South Travistown,$1474.58
Bethany Robinson,Sanchez Ltd,South Julialand,$2947.88
Connie Harper,Thomas and Sons,Elliottburgh,$343.10
Michael Maxwell,Rodriguez Inc,Scotthaven,$973.03
Christopher Atkinson,Smith Group,Lawrencemouth,$1277.49
Lauren Peters,Jones PLC,Bensonfort,$1446.07
Miss Claudia Brown,Hall-Wagner,Victorside,$316.80
Tony Wright,Moore Ltd,Warrenport,$900.22
Steven Morgan,Gonzalez; Larson and Peterson,Jenniferberg,$7906.30
Dennis Davis,Cox-Tanner,Lake Jamesfort,$1473.09
Samantha Simpson,Chapman; Vaughn and Williams,East Michael,$365.71
Melissa Jackson,Pena-Mcdowell,New Michaelview,$195.63
Wesley Arnold,King; Jackson and Coleman,West Zacharymouth,$34542.80
Leslie Hughes,Simpson-Cantu,Thomasville,$491.67
Jordan Roberts,Wong-Reilly,West Yolanda,$582.61
Jon Vasquez,Mitchell Group,Christophermouth,$622.72
Carmen Weaver,Gonzalez-Martin,East Nicole,$1396.18
Nicole Todd,Carroll-Gross,Newtonfort,$206.05
Dana Boyer,Nelson Ltd,North Jason,$408.65
Kurt Johnson,Garner; Beard and Diaz,Lake Johnnyville,$1076.46
Carol Peters,Wilkins; Schultz and Crosby,Jessicashire,$1234.76
Ashley Oneill,Gilbert; Hernandez and Herrera,Robersonfort,$3298.02
Michael Mckay,Mccormick Ltd,North Lydia,$285.09
Tara Martin,Rodriguez-Rocha,New Jesseburgh,$901.12
Samantha Allen,Clarke; Hill and Lloyd,Cummingsview,$248.53
Caleb Thompson,Hernandez-Murray,Jamesville,$243.87
Brittney Smith,Wall; Parks and Choi,Lake Latoyachester,$74672.75
Sarah Perry,Sutton Group,Lake Jaclynmouth,$336.65
Justin Oconnell,Mason-Willis,Port Mirandamouth,$454.43
Jill Ruiz,Turner; Nichols and Cross,North Jayhaven,$103.85
Danielle Leon,Hogan; Diaz and Cook,East Christopherfurt,$482.00
Scott Jackson,Brown; Miller and Becker,Joshuaside,$157.84
Sarah Wilkinson,Washington; Lawrence and Snow,Powersside,$1411.50
Kyle Rodriguez,Quinn-Roman,Jennifermouth,$1122.78
Angela Delgado,Bullock; Baker and Anderson,South Kevin,$905.30
Matthew Pennington,Jackson; Green and Cantu,Lake Isaiahberg,$948.35
Richard Sanders,Robinson; Lopez and Jackson,Kristystad,$1340.33
Mark Stewart,Maynard-Cruz,West Austinborough,$43492.04
Shannon Gordon,Perkins LLC,West Jaredmouth,$1592.35
Wesley Morris,Jones PLC,Port Erik,$35530.19
Chelsea Moore,Wilson-Smith,Jeffberg,$63.90
Jennifer Phillips,Lopez-Wilson,North Jacob,$77030.84
Mary Parker,Brown; Schmidt and Bell,New Cody,$403.91
Wendy Morse,Miller LLC,Ronaldstad,$789.51
Marco Jensen,Bradshaw-Wilson,Thomastown,$774.92
Scott Mann,Blackwell; Hicks and King,East Karenborough,$20.54
Patrick Roberts,Moran Ltd,Normanstad,$829.73
Anthony Williams,Gonzalez and Sons,Mikefort,$1490.03
Robin Adams,Anderson; Vance and Carpenter,East Brenda,$46.90
Briana Marshall,Collins-Graham,Matthewchester,$162.88
Norman Dougherty,Taylor; Hayes and Ford,Brownstad,$69.74
Edward Hernandez,Byrd-Ramirez,South Scott,$1106.47
Jennifer Johnson,Harper; Vazquez and Hawkins,Ochoaview,$458.72
Andrew Khan,Williams-Roberts,Patrickview,$1566.12
Erin Martinez,Larson LLC,West Dorishaven,$8371.63
Jennifer Hernandez,Carney and Sons,East Susantown,$1560.34
Justin Davis,Brown Inc,Melissachester,$212.45
Debra Jones,Griffin Ltd,Lisafort,$8232434.49
Lauren Trujillo,Walker; Roy and Bradley,Christineberg,$525.96
Tara Randall,Russell; Barnett and Nguyen,West Crystalport,$740.63
Carla Norton,Smith; Wells and Shea,South Tylerville,$1741.65
Brandon Valdez,Hatfield PLC,Rochashire,$576.00
Christopher Jacobs,Black; Reyes and Long,Markfort,$344.73
Jasmine Snyder,Hill Group,South Cathy,$1475.58
Danielle Cook,Henry; Quinn and Cole,West Veronicashire,$5598.50
Billy Mann,Santos; Rose and Collier,West Kaylaside,$1654.23
Kirsten Torres,Little-Cole,Marissaville,$927.54
Ryan Clark,Mejia-Hansen,North James,$337.39
Kyle Williams,Walker; Wilson and Smith,South Samanthachester,$849.88
Henry Vazquez,Thomas-Carpenter,New Nicholas,$334.78
Stephen Casey,Carson; Hoover and Bryant,New Barbarachester,$1438.06
Joseph Martinez,Harris-Smith,New Debbie,$175.47
Michelle Rogers,Leblanc-Garcia,West Christopherfort,$1676.65
Matthew Dixon,Myers-Watkins,Matthewshire,$1172.82
Jonathan Delgado,Mejia-Copeland,Timothystad,$1540.59
Kelly Adams,Henson-Mcclure,Gilbertville,$899.77
Diana Dawson,Acosta-Cummings,East Mary,$919.36
Tiffany Dyer,Schwartz-Bautista,New Thomasborough,$1746.35
Kelly Hoffman,Nicholson-Payne,Harrismouth,$7065.00
Steven Copeland,Fowler; Watson and Adams,East Margaretburgh,$468.04
Michelle Holloway,Johnson-Collins,Davidfurt,$1580.07
Susan Mercer,Garner LLC,Torresmouth,$267.15
Joshua Sullivan,Smith-Barker,Lake Darryl,$1081.51
Jonathan Mason,Patel-Williams,Port Norma,$38.72
Douglas Anderson,Burke Ltd,Patriciaside,$2605.10
Brandy Sanders,Washington; Rocha and Johnson,Port Nancyburgh,$313.77
Mark Shah,Collins LLC,New Jennifer,$43.73
Victor Moss,Boyd; Patel and Pierce,Lake Tammy,$675.00
Deborah Hopkins,Smith Group,Brownland,$1106.01
Sara Hughes,Gentry; Thomas and Cruz,West Richardville,$720.06
Michelle Ramsey,Simpson-Welch,Davidtown,$260.47
Molly Murphy,Parker Inc,South Jerryview,$666.90
Daniel Allen,Johnson; Gonzalez and Lopez,Lindseyhaven,$24350.09
Mary Johnson,Frey; Kirby and May,Elizabethburgh,$443.64
Shaun Jones,Nguyen-Mendoza,Smithchester,$224.03
Matthew Reeves,Lester Group,Lake Ryanbury,$1465.91
Charlene Ford,Harrington and Sons,Smithview,$848.76
Michael Thomas,Ibarra PLC,Mejiastad,$288.74
Brandon Lawson,Bass-Torres,New Rachaelport,$323.19
Brooke Silva,Grimes and Sons,Lake Meganmouth,$2637.28
Cassandra Parsons,Franco and Sons,Port Michaelberg,$615.55
Audrey Waters,Stewart-Nguyen,Randyshire,$861.53
Mark Davis,Herrera-Potter,Lake Andreaberg,$62.10
Megan Wang,Skinner PLC,Lake Brianna,$962.97
Joseph Martinez,Charles; Smith and Peterson,Blevinsstad,$784.41
Elizabeth Roberts,Jensen; Walker and Clark,New Maryberg,$90.84
Kelly Ross,Bowen PLC,Lake Baileyfort,$872.21
Willie Smith,Gordon-Mcdowell,Lopezberg,$378.56
Charles Smith,Allen; Garner and Davis,Amandaton,$423.41
Ryan Davis,Hart-Miller,Christianhaven,$270.65
Timothy Lopez,Brown-Castillo,Jacksonton,$4808.04
Devin Chavez,Porter; Gibbs and Payne,Huntberg,$452.22
Jerry Johnson,Knight; Hamilton and Santana,Port Jill,$448.09
Robert Lynch,Harris; Villegas and Kane,West Madisonhaven,$921.40
Dr. Robert Burgess,Snyder Group,North Scottstad,$938.04
Stephanie Smith,Zimmerman; Johnson and Phelps,East William,$1392.50
Erin Drake,Douglas and Sons,North Matthewland,$2455.36
Wanda Gomez,Hernandez-Thompson,Lake Rebecca,$51901.66
Joshua Hawkins,Blankenship PLC,Port Anaborough,$1249.16
Karen Rivers,Anderson and Sons,Lauramouth,$844.51
Jennifer Taylor,Butler and Sons,Zunigaborough,$924.98
Christina Solomon,Sosa; Adams and Jones,West Mary,$117.76
Danielle Rogers,Bennett-Morris,Port Thomas,$1464.49
Jerry Moses,Luna-Nichols,New Dana,$67533.82
Rebecca Dickerson,Flores-Washington,West Emily,$922.52
Samuel Davis,Phillips-Harmon,South Hollyport,$746.36
Christian Lam,Oconnell-Mcclure,New Brendatown,$245.22
Beverly Walker,Smith LLC,Port Amanda,$151.83
Leah Daniels,Mckinney Inc,West Patricia,$323.27
Matthew Mooney,Campbell; Kelley and Gray,Chadport,$186.33
Danielle Harrison,Lang; Stanley and Nixon,Dennismouth,$878.84
Jacob Reynolds,Chavez-Sherman,Mitchellfort,$971.87
Rodney Munoz,Gaines-Hanna,East Derek,$1789.66
Angela Williams,Acosta Group,New Michaelshire,$926.80
Stacy Kelly,Maddox; Jones and Ball,Melissachester,$272.01
Amber Henderson,Wilkins-Klein,North Sabrina,$1171.62
Ricardo Mccormick,Johnson; White and Pollard,Andersonhaven,$320.81
Holly Mcbride,Best; Odom and Williams,Burkeborough,$319.85
Kenneth Johnson,Sullivan-Shah,North Kelseyside,$1526.33
